state,std_per100000,sex_education_grade
Alabama,989.59998,6
Alaska,1091.2,3
Arizona,910.5,1
Arkansas,942.40002,1
California,801,9
Colorado,682.09998,10
Connecticut,583.59998,4
Delaware,669.40002,6
Florida,760.20001,1
Georgia,987.5,4
Hawaii,567.29999,7
Idaho,409.70001,2
Illinois,847.59998,11
Indiana,752.59998,1
Iowa,713.59998,7
Kansas,725.90002,4
Kentucky,627.20001,1
Louisiana,1159.9,3
Maine,289.20001,8
Maryland,,
Massachusetts,533.20001,3
Michigan,697.40002,2
Minnesota,590.5,4
Mississippi,1266,1
Missouri,833.5,6
Montana,516.40002,6
Nebraska,633.09998,1
Nevada,887.5,5
New Hampshire,272.39999,6
New Jersey,508,9
New Mexico,925.90002,6
New York,795.59998,2
North Carolina,922.20001,6
North Dakota,749.09998,3
Ohio,749.70001,3
Oklahoma,852.5,2
Oregon,561.09998,11
Pennsylvania,585.09998,4
Rhode Island,679.70001,9
South Carolina,1052,5
South Dakota,1009.1,1
Tennessee,877.09998,5
Texas,798.40002,4
Utah,460.60001,3
Vermont,164.60001,8
Virginia,658.79999,6
Washington,571.5,10
West Virginia,415.10001,6
Wisconsin,677,2
Wyoming,456.79999,2
