year,white,black,amerindianalaskannative,asiannathawaiianpacisl,unknown,total
1980,8750,8927,132,119,521,18448
1981,8931,9138,135,147,107,18457
1982,8374,8217,137,177,70,16975
1983,7943,7442,128,184,84,15781
1984,7926,6773,116,155,95,15065
1985,7809,7195,132,190,90,15415
1986,8235,8035,162,199,91,16721
1987,7820,7682,147,150,111,15910
1988,7717,8610,140,153,194,16815
1989,7975,9018,144,164,193,17494
1990,8818,10096,136,164,274,19489
1991,8511,10895,136,247,211,20000
1992,7824,10037,129,292,278,18559
1993,8071,10917,133,289,217,19627
1994,7976,10467,117,280,245,19085
1995,7616,8947,137,311,263,17273
1996,7235,8399,122,283,217,16255
1997,6436,7662,130,277,218,14724
1998,6821,6818,134,215,233,14220
1999,5846,6238,166,221,203,12673
2000,5874,6498,113,221,200,12907
2001,6114,6541,116,197,295,13264
2002,6200,6485,132,184,243,13244
2003,5936,6618,119,238,217,13127
2004,6125,6474,120,197,229,13146
2005,6176,7229,127,212,298,14043
2006,6238,7938,106,237,249,14767
2007,6128,7607,102,184,273,14295
2008,6216,6968,126,196,295,13799
2009,5998,6675,101,181,219,13175
2010,5586,6660,101,194,224,12765
2011,5576,6457,117,187,216,12554
2012,5436,6563,125,161,240,12525
2013,5197,6351,113,185,211,12058
2014,5307,6277,115,161,262,12121
2015,5591,6840,159,178,255,13024
2016,5888,7274,145,194,285,13786
2017,5979,7544,185,170,333,14211
2018,5833,7419,170,202,316,13940
2019,5653,7674,200,206,431,14163
2020,7090,9883,263,245,593,18073
